EMPREENDIMENTO,Responsável pela execução,Geral,Assunto,Status da Contratação,?!,Situação,Status Andamento,Início,Previsão de entrega,Entrega Efetiva,Observações e Rotinas
Altana,A.S Soluções,Processos,Consulta de Viabilidade de Drenagem,Contratado,,20.05.26: Projetos em andamento,Em andamento,,,,
Altana,A.S Soluções,Processos,Consulta de Viabilidade de Resíduos,Contratado,,21.05.26: Já protocolada PMF E 00122660/2026,Em análise,,,,PMF E 00122660/2026
Altana,Otus,Gestão,Coordenação e Compatibilização,Contratado,,Em andamento,Em andamento,,,,
Altana,BCh,Projetos,Projeto - Arquitetônico - Legal,Contratado,,20.05.26: já entregue versão inicial para aprovação - aguardando análise da prefeitura,Aguardando,,,18/05/2026,
Altana,BCh,Projetos,Projeto - Arquitetônico - Desenvolvimento,Contratado,,21.05.26: Em andamento,Em andamento,,,,
Altana,Bch / LV,Processos,Aprovação - Arquitetônico,Contratado,,"07/05/26: Processo já retornado - analista definido - Ivan
20.05.26: Já protocolado  (PMF E 001093132026)",Em análise,,,,PMF E 001093132026
Altana,,Projetos,Projeto - Interiores -  área comum,Em orçamento,,,Não iniciado,,,,
Altana,,Projetos,Projeto - Paisagismo,,,,Não iniciado,,22/05/2026,,
Altana,Tático,Documentação,Orçamento,Contratado,,20.05.26: Andamento com orçamento paramétrico,Em andamento,,,,
Altana,Tático,Documentação,Cronograma de Obra,Contratado,,20.05.26: em andamento,Em andamento,,,,
Altana,Otus,Documentação,Compatibilização,Contratado,,Em andamento,Em andamento,,,,
Altana,Habitat,Projetos,Projeto - Estrutural,Contratado,,Em andamento,Em andamento,,,,
Altana,Habitat,Projetos,Projeto -  Fundações e Contenções,Contratado,,Em andamento,Em andamento,,,,
Altana,Premiere,Projetos,Projeto - Hidrossanitário,Contratado,,Em andamento,Em andamento,,,,
Altana,Premiere,Processos,Aprovação - Hidrossanitário,Contratado,,,Não iniciado,,,,
Altana,Premiere,Projetos,Projeto - PPCI,Contratado,,20.05.26: em andamento,Em andamento,,,,
Altana,Premiere,Processos,Aprovação - PPCI,Contratado,,,Não iniciado,,,,
Altana,Premiere,Projetos,Projeto - Elétrica e Telecom,Contratado,,20.05.26: Em andamento,Em andamento,,,,
Altana,Premiere,Ambiental,Aprovação - Elétrica,Contratado,,não iniciada,Não iniciado,,,,
Altana,Premiere,Projetos,Projeto Exaustão e Climatização,Contratado,,20.05.26: Em andamento,Em andamento,,,,
Altana,Premiere,Projetos,Projeto de SPDA,Contratado,,20.05.26: Em andamento,Em andamento,,,,
Altana,,Projetos,Projeto - Segurança e Automação,Não iniciado,,,Não iniciado,,,,
Altana,,Projetos,Projeto - Ancoragem,Não iniciado,,,Não iniciado,,,,
Altana,Arsenal,Projetos,Consultoria - Elevadores,Contratado,,,Não iniciado,,,,
Altana,,Projetos,Projeto - Impermeabilização,Não iniciado,,,Não iniciado,,,,
Altana,A.S Soluções,Projetos,Projeto - ETE - Empreendimento,Contratado,,20.05.26: Projeto já entregue,Finalizado,,,,
Altana,A.S Soluções,Projetos,Projeto - ETE - Implantação,Contratado,,Em avaliação das soluções que serão adotadas,Em andamento,,,,
Altana,,Projetos,Projeto de Irrigação,Não iniciado,,,Não iniciado,,,,
Altana,,Projetos,Comunicação Visual/sinalização,Indefinido,,,Não iniciado,,,,
Altana,,Projetos,Fachada - Projeto de execução,Indefinido,,,Não iniciado,,,,
Altana,,Projetos,Projeto - Piscina,Não iniciado,,,Não iniciado,,,,
Altana,,Projetos,Projeto de Sauna,Não iniciado,,,Não iniciado,,,,
Altana,,Projetos,Luminotécnico,Não iniciado,,,Não iniciado,,,,
Altana,,Projetos,Exaustão,Não iniciado,,,Não iniciado,,,,
Altana,,Projetos,Relatório de Desempenho Acústico,Não iniciado,,,Não iniciado,,,,
Altana,,Projetos,Relatório de Desempenho Térmico,Não iniciado,,,Não iniciado,,,,
Altana,,Projetos,Relatório de Desempenho Lumínico,Não iniciado,,,Não iniciado,,,,
Altana,A.S Soluções,Projetos,Projeto de Terraplanagem,Contratado,,20.05.26: Em andamento,Em andamento,,,,
